"partyname","total","records","matched"
AAM AADMI PARTY,654500000,245,All
AAM AADMI PARTY,652500000,243,Linked
ADYAKSHA SAMAJVADI PARTY,140500000,46,All
ADYAKSHA SAMAJVADI PARTY,132100000,16,Linked
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,60500000,38,All
ALL INDIA TRINAMOOL CONGRESS,16095314000,3305,All
ALL INDIA TRINAMOOL CONGRESS,15925214000,3269,Linked
BHARAT RASHTRA SAMITHI,12147099000,1806,All
BHARAT RASHTRA SAMITHI,11911599000,1773,Linked
BHARATIYA JANATA PARTY,60605111000,8633,All
BHARATIYA JANATA PARTY,55942011000,7488,Linked
BIHAR PRADESH JANTA DAL(UNITED),140000000,14,All
BIHAR PRADESH JANTA DAL(UNITED),120000000,12,Linked
BIJU JANATA DAL,7755000000,861,All
BIJU JANATA DAL,7755000000,861,Linked
DRAVIDA MUNNETRA KAZHAGAM (DMK),6390000000,648,All
DRAVIDA MUNNETRA KAZHAGAM (DMK),6320000000,641,Linked
GOA FORWARD PARTY,3500000,17,All
GOA FORWARD PARTY,3500000,17,Linked
JAMMU AND KASHMIR NATIONAL CONFERENCE,5000000,5,All
JAMMU AND KASHMIR NATIONAL CONFERENCE,5000000,5,Linked
JANASENA PARTY,210000000,39,All
JANASENA PARTY,210000000,39,Linked
JANATA DAL ( SECULAR ),435000000,75,All
JANATA DAL ( SECULAR ),410000000,50,Linked
JHARKHAND MUKTI MORCHA,135000000,45,All
JHARKHAND MUKTI MORCHA,125000000,35,Linked
MAHARASHTRAWADI GOMNTAK PARTY,5500000,28,All
MAHARASHTRAWADI GOMNTAK PARTY,5500000,28,Linked
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,310000000,121,All
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,285000000,96,Linked
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14218655000,3146,All
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13510945000,2908,Linked
RASHTRIYA JANTA DAL,735000000,150,All
RASHTRIYA JANTA DAL,725000000,140,Linked
SHIROMANI AKALI DAL,72600000,33,All
SHIROMANI AKALI DAL,72600000,33,Linked
SHIVSENA,1593814000,355,All
SHIVSENA,1524514000,319,Linked
SIKKIM DEMOCRATIC FRONT,55000000,10,All
SIKKIM DEMOCRATIC FRONT,55000000,10,Linked
SIKKIM KRANTIKARI MORCHA,365000000,50,All
SIKKIM KRANTIKARI MORCHA,365000000,50,Linked
TELUGU DESAM PARTY,2188800000,279,All
TELUGU DESAM PARTY,2115800000,260,Linked
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),3370000000,472,All
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),3287500000,448,Linked
